publication, type
Berlin, Stadt
Hamburg, Freie und Hansestadt
München, Landeshauptstadt
Köln, Stadt
Frankfurt am Main, Stadt
Stuttgart, Landeshauptstadt
Düsseldorf, Stadt
Dortmund, Stadt
Essen, Stadt
Leipzig, Stadt
Bremen, Stadt
Dresden, Stadt
Hannover, Landeshauptstadt
Nürnberg
Duisburg, Stadt
Bochum, Stadt
Wuppertal, Stadt
Bielefeld, Stadt
Bonn, Stadt
Münster, Stadt
Karlsruhe, Stadt
Mannheim, Universitätsstadt
Augsburg
Wiesbaden, Landeshauptstadt
Mönchengladbach, Stadt
Gelsenkirchen, Stadt
Braunschweig, Stadt
Kiel, Landeshauptstadt
Chemnitz, Stadt
Aachen, Stadt
Halle (Saale), Stadt
Magdeburg, Landeshauptstadt
Freiburg im Breisgau, Stadt
Krefeld, Stadt
Lübeck, Hansestadt
Mainz, Stadt
Erfurt, Stadt
Oberhausen, Stadt
Rostock, Hansestadt
Kassel, documenta-Stadt
Hagen, Stadt der FernUniversität
Saarbrücken, Landeshauptstadt
Hamm, Stadt
Potsdam, Stadt
Mülheim an der Ruhr, Stadt
Ludwigshafen am Rhein, Stadt
Oldenburg (Oldenburg), Stadt
Osnabrück, Stadt
Leverkusen, Stadt
Heidelberg, Stadt
Solingen, Klingenstadt
Darmstadt, Wissenschaftsstadt
Herne, Stadt
Neuss, Stadt
Regensburg
Paderborn, Stadt
Ingolstadt
Offenbach am Main, Stadt
Würzburg
Fürth
Ulm, Universitätsstadt
Heilbronn, Stadt
Pforzheim, Stadt
Wolfsburg, Stadt
Göttingen, Stadt
Bottrop, Stadt
Reutlingen, Stadt
Koblenz, Stadt
Recklinghausen, Stadt
Bremerhaven, Stadt
Bergisch Gladbach, Stadt
Jena, Stadt
Erlangen
Remscheid, Stadt
Trier, Stadt
Salzgitter, Stadt
Moers, Stadt
Siegen, Universitätsstadt
Hildesheim, Stadt
Cottbus, Stadt
Kaiserslautern, Stadt
Gütersloh, Stadt
Witten, Stadt
Hanau, Brüder-Grimm-Stadt
Schwerin, Landeshauptstadt
Gera, Stadt
Ludwigsburg, Stadt
Esslingen am Neckar, Stadt
Iserlohn, Stadt
Düren, Stadt
Zwickau, Stadt
Tübingen, Universitätsstadt
Flensburg, Stadt
Gießen, Universitätsstadt
Ratingen, Stadt
Lünen, Stadt
Villingen-Schwenningen, Stadt
Konstanz, Universitätsstadt
Marl, Stadt
Worms, Stadt
Dessau-Roßlau, Stadt
Velbert, Stadt
Minden, Stadt
Neumünster, Stadt
Norderstedt, Stadt
Delmenhorst, Stadt
Bamberg
Viersen, Stadt
Wilhelmshaven, Stadt
Marburg, Universitätsstadt
Rheine, Stadt
Gladbeck, Stadt
Dorsten, Stadt
Lüneburg, Hansestadt
Troisdorf, Stadt
Detmold, Stadt
Bayreuth
Castrop-Rauxel, Stadt
Arnsberg, Stadt
Lüdenscheid, Stadt
Brandenburg an der Havel, Stadt
Landshut
Bocholt, Stadt
Aschaffenburg
Celle, Stadt
Kempten (Allgäu)
Fulda, Stadt
Lippstadt, Stadt
Aalen, Stadt
Dinslaken, Stadt
Herford, Hansestadt
Kerpen, Kolpingstadt
Plauen, Stadt
Rüsselsheim am Main, Stadt
Neuwied, Stadt
Sindelfingen, Stadt
Weimar, Stadt
Neubrandenburg, Stadt
Dormagen, Stadt
Grevenbroich, Stadt
Rosenheim
Herten, Stadt
Bergheim, Stadt
Schwäbisch Gmünd, Stadt
Garbsen, Stadt
Wesel, Stadt
Friedrichshafen, Stadt
Hürth, Stadt
Stralsund, Hansestadt
Offenburg, Stadt
Greifswald, Hansestadt
Langenfeld (Rheinland), Stadt
Frankfurt (Oder), Stadt
Neu-Ulm, GKSt
Euskirchen, Stadt
Hameln, Stadt
Unna, Stadt
Göppingen, Stadt
Stolberg (Rhld.), Kupferstadt
Görlitz, Stadt
Eschweiler, Stadt
Sankt Augustin, Stadt
Hilden, Stadt
Meerbusch, Stadt
Waiblingen, Stadt
Baden-Baden, Stadt
Hattingen, Stadt
Lingen (Ems), Stadt
Pulheim, Stadt
Bad Homburg v. d. Höhe, Stadt
Bad Salzuflen, Stadt
Langenhagen, Stadt
Schweinfurt
Neustadt an der Weinstraße, Stadt
Nordhorn, Stadt
Menden (Sauerland), Stadt
Wetzlar, Stadt
Ahlen, Stadt
Wolfenbüttel, Stadt
Frechen, Stadt
Ibbenbüren, Stadt
Passau
Kleve, Stadt
Willich, Stadt
Goslar, Stadt
Speyer, Stadt
Emden, Stadt
Gummersbach, Stadt
Bad Kreuznach, Stadt
Ravensburg, Stadt
Böblingen, Stadt
Peine, Stadt
Erftstadt, Stadt
Elmshorn, Stadt
Heidenheim an der Brenz, Stadt
Lörrach, Stadt
Rastatt, Stadt
Bergkamen, Stadt
Bad Oeynhausen, Stadt
Rheda-Wiedenbrück, Stadt
Cuxhaven, Stadt
Frankenthal (Pfalz), Stadt
Freising, GKSt
Leonberg, Stadt
Bornheim, Stadt
Singen (Hohentwiel), Stadt
Gronau (Westf.), Stadt
Straubing
Soest, Stadt
Stade, Hansestadt
Hennef (Sieg), Stadt
Dachau, GKSt
Alsdorf, Stadt
Neunkirchen, Kreisstadt
Schwerte, Hansestadt an der Ruhr
Dülmen, Stadt
Herzogenrath, Stadt
Melle, Stadt
Landau in der Pfalz, Stadt
Wittenberg, Lutherstadt
Lahr/Schwarzwald, Stadt
Oberursel (Taunus), Stadt
Hof
Filderstadt, Stadt
Fellbach, Stadt
Bünde, Stadt
Gotha, Stadt
Weinheim, Stadt
Albstadt, Stadt
Rodgau, Stadt
Bruchsal, Stadt
Erkrath, Fundort des Neanderthalers, Stadt
Brühl, Stadt
Oranienburg, Stadt
Neustadt am Rübenberge, Stadt
Lehrte, Stadt
Rottenburg am Neckar, Stadt
Falkensee, Stadt
Kaufbeuren
Memmingen
Erkelenz, Stadt
Kamen, Stadt
Bietigheim-Bissingen, Stadt
Kaarst, Stadt
Pinneberg, Stadt
Wismar, Hansestadt
Eisenach, Stadt
Weiden i.d.OPf.
Borken, Stadt
Nettetal, Stadt
Amberg
Gifhorn, Stadt
Nordhausen, Stadt
Homburg, Kreisstadt
Aurich, Stadt
Heinsberg, Stadt
Ansbach
Dreieich, Stadt
Wunstorf, Stadt
Freiberg, Stadt, Universitätsstadt
Laatzen, Stadt
Siegburg, Stadt
Coburg
Königswinter, Stadt
Nürtingen, Stadt
Weißenfels, Stadt
Halberstadt, Stadt
Lemgo, Stadt
Schwabach
Pirmasens, Stadt
Monheim am Rhein, Stadt
Kirchheim unter Teck, Stadt
Bensheim, Stadt
Germering, GKSt
Eberswalde, Stadt
Löhne, Stadt
Leinfelden-Echterdingen, Stadt
Stendal, Hansestadt
Neumarkt i.d.OPf., GKSt
Schwäbisch Hall, Stadt
Buxtehude, Hansestadt
Hofheim am Taunus, Kreisstadt
Schorndorf, Stadt
Hückelhoven, Stadt
Bautzen, Stadt
Völklingen, Stadt
Ettlingen, Stadt
Freital, Stadt
Ostfildern, Stadt
Ahaus, Stadt
Bitterfeld-Wolfen, Stadt
Buchholz in der Nordheide, Stadt
Würselen, Stadt
Maintal, Stadt
Mettmann, Stadt
Pirna, Stadt
Bernau bei Berlin, Stadt
Niederkassel, Stadt
Haltern am See, Stadt
Langen (Hessen), Stadt
Neu-Isenburg, Stadt
Greven, Stadt
Kamp-Lintfort, Stadt
Warendorf, Stadt
Fürstenfeldbruck, GKSt
Papenburg, Stadt
Backnang, Stadt
Königs Wusterhausen, Stadt
Beckum, Stadt
Erding, GKSt
Coesfeld, Stadt
Voerde (Niederrhein), Stadt
Emsdetten, Stadt
Wesseling, Stadt
St. Ingbert, Stadt
Kehl, Stadt
Porta Westfalica, Stadt
Tuttlingen, Stadt
Sinsheim, Stadt
Meppen, Stadt
Suhl, Stadt
Lage, Stadt
Limburg a.d. Lahn, Kreisstadt
Kempen, Stadt
Wermelskirchen, Stadt
Winsen (Luhe), Stadt
Cloppenburg, Stadt
Datteln, Stadt
Saarlouis, Kreisstadt
Mörfelden-Walldorf, Stadt
Zweibrücken, Stadt
Leer (Ostfriesland), Stadt
Merseburg, Stadt
Crailsheim, Stadt
Balingen, Stadt
Dietzenbach, Kreisstadt
Seelze, Stadt
Hemer, Stadt
Viernheim, Stadt
Barsinghausen, Stadt
Radebeul, Stadt
Steinfurt, Stadt
Geldern, Stadt
Kornwestheim, Stadt
Bad Vilbel, Stadt
Uelzen, Hansestadt
Goch, Stadt
Deggendorf, GKSt
Wedel, Stadt
Ahrensburg, Stadt
Mühlhausen/Thüringen, Stadt
Hoyerswerda, Stadt
Korschenbroich, Stadt
Bernburg (Saale), Stadt
Rheinfelden (Baden), Stadt
Wernigerode, Stadt
Biberach an der Riß, Stadt
Naumburg (Saale), Stadt
Lampertheim, Stadt
Jülich, Stadt
Altenburg, Stadt
Vechta, Stadt
Forchheim, GKSt
Bad Nauheim, Stadt
Fürstenwalde/Spree, Stadt
Delbrück, Stadt
Itzehoe, Stadt
Achim, Stadt
Georgsmarienhütte, Stadt
Nienburg (Weser), Stadt
Herrenberg, Stadt
Oer-Erkenschwick, Stadt
Rheinberg, Stadt
Radolfzell am Bodensee, Stadt
Schönebeck (Elbe), Stadt
Kreuztal, Stadt
Bramsche, Stadt
Einbeck, Stadt
Gevelsberg, Stadt
Neuruppin, Stadt
Geestland, Stadt
Emmerich am Rhein, Stadt
Werl, Stadt
Haan, Stadt
Burgdorf, Stadt
Lohmar, Stadt
Geesthacht, Stadt
Riesa, Stadt
Osterholz-Scharmbeck, Stadt
Weil am Rhein, Stadt
Meschede, Kreis- und  Hochschulstadt
Schwedt/Oder, Stadt
Ennepetal, Stadt der Kluterthöhle
Andernach, Stadt
Merzig, Kreisstadt
Friedberg, St
Bad Hersfeld, Kreisstadt
Taunusstein, Stadt
Werne, Stadt
Gaggenau, Stadt
Neuburg a.d.Donau, GKSt
Rietberg, Stadt
Güstrow, Stadt
Bretten, Stadt
Vaihingen an der Enz, Stadt
Tönisvorst, Stadt
Waltrop, Stadt
Oelde, Stadt
Höxter, Stadt
Northeim, Stadt
Bühl, Stadt
Friedberg (Hessen), Kreisstadt
Springe, Stadt
Landsberg am Lech, GKSt
Kelkheim (Taunus), Stadt
Unterschleißheim, St
Rendsburg, Stadt
Schwandorf, GKSt
Rösrath, Stadt
Schwelm, Stadt
Zeitz, Stadt
Idar-Oberstein, Stadt
Winnenden, Stadt
Mühlheim am Main, Stadt
Leichlingen (Rheinland), Blütenstadt
Kevelaer, Stadt
Grimma, Stadt
Meißen, Stadt
Bad Neuenahr-Ahrweiler, Stadt
Geislingen an der Steige, Stadt
Wegberg, Stadt
Sundern (Sauerland), Stadt
Königsbrunn, St
Rödermark, Stadt
Verden (Aller), Stadt
Aschersleben, Stadt
Baunatal, Stadt
Emmendingen, Stadt
Wetter (Ruhr), Stadt
Olching, St
Hattersheim am Main, Stadt
Reinbek, Stadt
Mechernich, Stadt
Griesheim, Stadt
Rheinbach, Stadt
Wangen im Allgäu, Stadt
Geilenkirchen, Stadt
Overath, Stadt
Leimen, Stadt
Baesweiler, Stadt
Neukirchen-Vluyn, Stadt
Weinstadt, Stadt
Sangerhausen, Stadt
Wiesloch, Stadt
Schloß Holte-Stukenbrock, Stadt
Hamminkeln, Stadt
Lauf a.d.Pegnitz, St
Strausberg, Stadt
Lohne (Oldenburg), Stadt
Neckarsulm, Stadt
Hennigsdorf, Stadt
Nordenham, Stadt
Remseck am Neckar, Stadt
Köthen (Anhalt), Stadt
Heiligenhaus, Stadt
Butzbach, Friedrich-Ludwig-Weidig-Stadt
Mühlacker, Stadt
Kulmbach, GKSt
Hohen Neuendorf, Stadt
Ilmenau, Stadt
St. Wendel, Kreisstadt
Ehingen (Donau), Stadt
Weiterstadt, Stadt
Staßfurt, Stadt
Selm, Stadt
Helmstedt, Stadt
Pfaffenhofen a.d.Ilm, St
Teltow, Stadt
Heppenheim (Bergstraße), Kreisstadt
Bad Honnef, Stadt
Werder (Havel), Stadt
Ludwigsfelde, Stadt
Lennestadt, Stadt
Rinteln, Stadt
Zittau, Stadt
Brilon, Stadt
Lübbecke, Stadt
Achern, Stadt
Bingen am Rhein, Stadt
Plettenberg, Stadt
Verl, Stadt
Zirndorf, St
Friedrichsdorf, Stadt
Lindau (Bodensee), GKSt
Roth, St
Rottweil, Stadt
Salzkotten, Stadt
Wiehl, Stadt
Petershagen, Stadt
Schleswig, Stadt
Eisenhüttenstadt, Stadt
Norden, Stadt
Pfungstadt, Stadt
Harsewinkel, Die Mähdrescherstadt
Weingarten, Stadt
Schmallenberg, Stadt
Bad Oldesloe, Stadt
Ditzingen, Stadt
Warstein, Stadt
Geretsried, St
Horb am Neckar, Stadt
Groß-Gerau, Stadt
Ingelheim am Rhein, Stadt
Idstein, Hochschulstadt
Espelkamp, Stadt
Delitzsch, Stadt
Saalfeld/Saale, Stadt
Sprockhövel, Stadt
Obertshausen, Stadt
Meckenheim, Stadt
Markkleeberg, Stadt
Senftenberg, Stadt
Lüdinghausen, Stadt
Olpe, Stadt
Arnstadt, Stadt
Syke, Stadt
Ellwangen (Jagst), Stadt
Attendorn, Hansestadt
Rathenow, Stadt
Stutensee, Stadt
Quedlinburg, Welterbestadt
Waldshut-Tiengen, Stadt
Übach-Palenberg, Stadt
Ronnenberg, Stadt
Limbach-Oberfrohna, Stadt
Öhringen, Stadt
Salzwedel, Hansestadt
Varel, Stadt
Hann. Münden, Stadt
Sonneberg, Stadt
Döbeln, Stadt
Haren (Ems), Stadt
Eisleben, Lutherstadt
Korbach, Hansestadt, Kreisstadt
Riedstadt, Stadt
Bedburg, Stadt
Sehnde, Stadt
Bad Mergentheim, Stadt
Calw, Stadt
Dillenburg, Oranienstadt
Waldkraiburg, St
Starnberg, St
Netphen, Stadt
Mosbach, Stadt
Husum, Stadt
Freudenstadt, Stadt
Warburg, Hansestadt
Herzogenaurach, St
Walsrode, Stadt
Gelnhausen, Barbarossast., Krst.
Herdecke, Stadt
Wertheim, Stadt
Leutkirch im Allgäu, Stadt
Glauchau, Stadt
Überlingen, Stadt
Lengerich, Stadt
Gardelegen, Hansestadt
Burg, Stadt
Bad Soden am Taunus, Stadt
Vreden, Stadt
Rudolstadt, Stadt
Westerstede, Stadt
Donaueschingen, Stadt
Spremberg, Stadt
Gersthofen, St
Radevormwald, Stadt auf der Höhe
Weilheim i.OB, St
Friesoythe, Stadt
Bad Kissingen, GKSt
Nagold, Stadt
Apolda, Stadt
Stadthagen, Stadt
Laupheim, Stadt
Senden, St
Karben, Stadt
Büdingen, Stadt
Neusäß, St
Bad Harzburg, Stadt
Eckernförde, Stadt
Metzingen, Stadt
Osterode am Harz, Stadt
Waldkirch, Stadt
Sondershausen, Stadt
Hockenheim, Stadt
Halle (Westf.), Stadt
Zerbst/Anhalt, Stadt
Heide, Stadt
Rotenburg (Wümme), Stadt
Xanten, Stadt
Schwetzingen, Stadt
Elsdorf, Stadt
Sonthofen, St
Eppingen, Stadt
Büren, Stadt
Versmold, Stadt
Eschborn, Stadt
Puchheim, St
Kaltenkirchen, Stadt
Stadtallendorf, Stadt
Kitzingen, GKSt
Flörsheim am Main, Stadt
Soltau, Stadt
Seligenstadt, Stadt
Waren (Müritz), Stadt
Wipperfürth, Hansestadt
Wülfrath, Stadt
Bad Rappenau, Stadt
Geseke, Stadt
Aichach, St
Rees, Stadt
Meiningen, Stadt
Schramberg, Stadt
Groß-Umstadt, Stadt
Quickborn, Stadt
Traunreut, St
Coswig, Stadt
Reichenbach im Vogtland, Stadt
Fröndenberg/Ruhr, Stadt
Waghäusel, Stadt
Eislingen/Fils, Stadt
Werdau, Stadt
Blieskastel, Stadt
Germersheim, Stadt
Herborn, Stadt
Luckenwalde, Stadt
Enger, Widukindstadt
Greiz, Stadt
Duderstadt, Stadt
Burgwedel, Stadt
Schortens, Stadt
Rheinstetten, Stadt
Mössingen, Stadt
Meinerzhagen, Stadt
Bruchköbel, Stadt
Stadtlohn, Stadt
Wittmund, Stadt
Günzburg, GKSt
Bad Waldsee, Stadt
Nördlingen, GKSt
Traunstein, GKSt
Lichtenfels, St
Dillingen/ Saar, Stadt
Neustrelitz, Stadt
Holzminden, Stadt
Mühldorf a.Inn, St
Nidderau, Stadt
Hörstel, Stadt
Torgau, Stadt
Schifferstadt, Stadt
Oberkirch, Stadt
Zülpich, Stadt
Annaberg-Buchholz, Stadt
Bad Schwartau, Stadt
Blankenburg (Harz), Stadt
Donauwörth, GKSt
Ennigerloh, Stadt
Schopfheim, Stadt
Gerlingen, Stadt
Oschersleben (Bode), Stadt
Wildeshausen, Stadt
Marsberg, Stadt
Telgte, Stadt
Eschwege, Kreisstadt
Giengen an der Brenz, Stadt
Korntal-Münchingen, Stadt
Ochtrup, Stadt
Dingolfing, St
Sulzbach-Rosenberg, St
Bad Berleburg, Stadt
Seesen, Stadt
Bad Krozingen, Stadt
Waldbröl, Stadt
Haldensleben, Stadt
Haiger, Stadt
Bückeburg, Stadt
Schmalkalden, Kurort, Stadt
Borna, Stadt
Sarstedt, Stadt
Bad Friedrichshall, Stadt
Rhede, Stadt
Hechingen, Stadt
Schenefeld, Stadt
Mayen, Stadt
Prenzlau, Stadt
Bad Pyrmont, Stadt
Tettnang, Stadt
Weil der Stadt, Stadt
Müllheim, Stadt
Lebach, Stadt
Bad Driburg, Stadt
Mölln, Stadt
Hemmingen, Stadt
Zossen, Stadt
Wittlich, Stadt
Bergneustadt, Stadt
Heusenstamm, Stadt
Sömmerda, Stadt
Bad Aibling, St
Alfeld (Leine), Stadt
Crimmitschau, Stadt
Dillingen a.d.Donau, GKSt
Wolfratshausen, St
Bad Tölz, St
Schneverdingen, Stadt
Bremervörde, Stadt
Burghausen, St
Sachsenheim, Stadt
Püttlingen, Stadt
Auerbach/Vogtl., Stadt
Vlotho, Stadt
Alzenau, St
Moosburg a.d.Isar, St
Kolbermoor, St
Pfullingen, Stadt
Bad Dürkheim, Stadt
Kronberg im Taunus, Stadt
Leinefelde-Worbis, Stadt
Radeberg, Stadt
Uetersen, Stadt
Marktoberdorf, St
Glinde, Stadt
Forst (Lausitz), Stadt
Alzey, Stadt
Weißenburg i.Bay., GKSt
Konz, Stadt
Großenhain, Stadt
Burscheid, Stadt
Pohlheim, Stadt
Wassenberg, Stadt
Schwalmstadt, Konfirmationsstadt
Vellmar, Stadt
Hessisch Oldendorf, Stadt
Parchim, Stadt
Renningen, Stadt
Wörth am Rhein, Stadt
Bad Reichenhall, GKSt
Lahnstein, Stadt
Schkeuditz, Stadt
Buchen (Odenwald), Stadt
Werdohl, Stadt
Freudenberg, Stadt
Frankenberg (Eder), Stadt
Nauen, Stadt
Bexbach, Stadt
Hochheim am Main, Stadt
Thale, Stadt
Oberasbach, St
Sinzig, Stadt
Garching b.München, St
Oerlinghausen, Stadt
Bad Saulgau, Stadt
Bad Münder am Deister, Stadt
Nidda, Stadt
Bad Langensalza, Stadt
Marktredwitz, GKSt
Bad Segeberg, Stadt
Illertissen, St
Bad Münstereifel, Stadt
Gescher, Glockenstadt
Horn-Bad Meinberg, Stadt
Wittenberge, Stadt
Bad Säckingen, Stadt
Guben, Stadt
Marienberg, Stadt
Bobingen, St
Eltville am Rhein, Stadt
Bad Wildungen, Stadt
Altena, Stadt
Sigmaringen, Stadt
Damme, Stadt
Schrobenhausen, St
Heilbad Heiligenstadt, Stadt
Eutin, Stadt
Schwarzenberg/Erzgeb., Stadt
Stockach, Stadt
Kronach, St
Bendorf, Stadt
Cham, St
Freilassing, St
Remagen, Stadt
Kelheim, St
Trossingen, Stadt
Diepholz, Stadt
Babenhausen, Stadt
Heidenau, Stadt
Zeulenroda-Triebes, Stadt
Königstein im Taunus, Stadt
Kelsterbach, Stadt
Gunzenhausen, St
Penzberg, St
Ginsheim-Gustavsburg, Stadt
Hünfeld, Konrad-Zuse-Stadt
Finsterwalde, Stadt
Vilshofen an der Donau, St
Schwarzenbek, Stadt
Brakel, Stadt
Sulzbach/ Saar, Stadt
Weißwasser/O.L., Stadt
Bürstadt, Stadt
Reinheim, Stadt
Kirchhain, Stadt
Wendlingen am Neckar, Stadt
Wurzen, Stadt
Kierspe, Stadt
Raunheim, Stadt
Halver, Stadt
Lübbenau/Spreewald, Stadt
Michelstadt, Stadt
Bargteheide, Stadt
Preetz, Stadt
Freiberg am Neckar, Stadt
Erwitte, Stadt
Brackenheim, Stadt
Straelen, Stadt
Aue, Stadt
Alsfeld, Stadt
Templin, Stadt
Blaustein, Stadt
Bad Lippspringe, Stadt
Schlüchtern, Stadt
Bad Wörishofen, St
Marbach am Neckar, Stadt
Pocking, St
Bassum, Stadt
Königslutter am Elm, Stadt
Wadern, Stadt
Eilenburg, Stadt
Weener, Stadt
Walldorf, Stadt
Clausthal-Zellerfeld, Berg- und Universitätsstadt
Füssen, St
Markranstädt, Stadt
Dieburg, Stadt
Taucha, Stadt
Drensteinfurt, Stadt
Bad Salzungen, Stadt
Rahden, Stadt
Breisach am Rhein, Stadt
Bad Arolsen, Stadt
Schwalbach am Taunus, Stadt
Bad Bentheim, Stadt
Ebersbach an der Fils, Stadt
Bad Neustadt a.d.Saale, St
Künzelsau, Stadt
Boppard, Stadt
Eppelheim, Stadt
Neustadt b.Coburg, GKSt
Hofgeismar, Stadt
Ribnitz-Damgarten, Stadt
Lohr a.Main, St
Altdorf b.Nürnberg, St
Neustadt in Holstein, Stadt
Blomberg, Stadt
Ober-Ramstadt, Stadt
Witzenhausen, Stadt
Brake (Unterweser), Stadt
Selb, GKSt
Langenau, Stadt
Hückeswagen, Schloss-Stadt
Karlstadt, St
Landsberg, Stadt
Schriesheim, Stadt
Mainburg, St
Munster, Stadt
Stadtbergen, St
Hilchenbach, Stadt
Gehrden, Stadt
Mindelheim, St
Mittweida, Stadt, Hochschulstadt
Markgröningen, Stadt
Bitburg, Stadt
Löbau, Stadt
Kamenz, Stadt
Neu-Anspach, Stadt
Hohenstein-Ernstthal, Stadt
Kraichtal, Stadt
Fritzlar, Dom- und Kaiserstadt
Dorfen, St
Bad Wurzach, Stadt
Olsberg, Stadt
Pattensen, Stadt
Ratzeburg, Stadt
Eberbach, Stadt
Erlensee, Stadt
Lauchhammer, Stadt
Lauda-Königshofen, Stadt
Ottweiler, Stadt
Rotenburg a. d. Fulda, Stadt
Meerane, Stadt
Spenge, Stadt
Sandersdorf-Brehna, Stadt
Oschatz, Stadt
Dippoldiswalde, Stadt
Usingen, Stadt
Münsingen, Stadt
Uhingen, Stadt
Wittstock/Dosse, Stadt
Sassenberg, Stadt
Uslar, Stadt
Bad Bramstedt, Stadt
Hettstedt, Stadt
Bad Camberg, Stadt
Plochingen, Stadt
Immenstadt i.Allgäu, St
Jever, Stadt
Frankenberg/Sa., Stadt
Jessen (Elster), Stadt
Gernsbach, Stadt
Wilsdruff, Stadt
Genthin, Stadt
Lauterbach (Hessen), Kreisstadt
Bebra, Stadt
Neustadt a.d.Donau, St
Homberg (Efze), Reformationsstadt, Kreisstadt
Wanzleben-Börde, Stadt
Schwabmünchen, St
Oberndorf am Neckar, Stadt
Murrhardt, Stadt
Lübben (Spreewald), Stadt
Leuna, Stadt
Langenselbold, Stadt
Stein, St
Kalkar, Stadt
Zeven, Stadt
Schneeberg, Stadt
Markdorf, Stadt
Isny im Allgäu, Stadt
Angermünde, Stadt
Oebisfelde-Weferlingen, Stadt
Abensberg, St
Schwentinental, Stadt
Grünberg, Stadt
Biedenkopf, Stadt
Melsungen, Stadt
Eggenfelden, St
Neutraubling, St
Tornesch, Stadt
Eppstein, Stadt
Bergen, Stadt
Bad Laasphe, Stadt
Erbach, Kreisstadt
Aßlar, Stadt
Grafing b.München, St
Bergen auf Rügen, Stadt
Philippsburg, Stadt
Asperg, Stadt
Eichstätt, GKSt
Lich, Stadt
Grünstadt, Stadt
Vöhringen, St
Haßfurt, St
Südliches Anhalt, Stadt
Solms, Stadt
Erbach, Stadt
Hilpoltstein, St
Lorsch, Karolingerstadt
Zehdenick, Stadt
Weißenhorn, St
Höchstadt a.d.Aisch, St
Bad Soden-Salmünster, Stadt
Neckargemünd, Stadt
Quakenbrück, Stadt
Löningen, Stadt
Landau a.d.Isar, St
Burglengenfeld, St
Montabaur, Stadt
Pegnitz, St
Pfullendorf, Stadt
Tauberbischofsheim, Stadt
Sendenhorst, Stadt
Schleiden, Stadt
Bad Salzdetfurth, Stadt
Beverungen, Stadt
Rödental, St
Bad Dürrheim, Stadt
Östringen, Stadt
Krumbach (Schwaben), St
Wolfhagen, Stadt
Dinklage, Stadt
Wiesmoor, Stadt
Herbrechtingen, Stadt
Wehr, Stadt
Herzberg am Harz, Stadt
Waltershausen, Stadt
Weilburg, Stadt
Holzgerlingen, Stadt
Ettenheim, Stadt
Buchloe, St
Möckern, Stadt
Velen, Stadt
Plattling, St
Neustadt a.d.Aisch, St
Linden, Stadt
Treuchtlingen, St
St. Georgen im Schwarzwald, Stadt
Altötting, St
Haselünne, Stadt
Spaichingen, Stadt
Sulingen, Stadt
Wasserburg a.Inn, St
Steinheim, Stadt
Winterberg, Stadt
Borken (Hessen), Stadt
Brunsbüttel, Stadt
Olfen, Stadt
Schüttorf, Stadt
Fehmarn, Stadt
Pfarrkirchen, St
Anklam, Stadt
Hungen, Stadt
Wächtersbach, Stadt
Linnich, Stadt
