publication, type
Hersbruck, St
Hadamar, Stadt
Besigheim, Stadt
Blaubeuren, Stadt
Neuenburg am Rhein, Stadt
Jüterbog, Stadt
Wernau (Neckar), Stadt
Bad Windsheim, St
Bad Urach, Stadt
Feuchtwangen, St
Preußisch Oldendorf, Stadt
Bad Freienwalde (Oder), Stadt
Perleberg, Stadt
Twistringen, Stadt
Schongau, St
Bad Doberan, Stadt
Hessisch Lichtenau, Stadt
Gladenbach, Stadt
Sulz am Neckar, Stadt
Ludwigslust, Stadt
Rosbach v. d. Höhe, Stadt
Burladingen, Stadt
Weinsberg, Stadt
Titisee-Neustadt, Stadt
Bad Wünnenberg, Stadt
Neustadt in Sachsen, Stadt
Steinheim an der Murr, Stadt
Beelitz, Stadt
Ebersberg, St
Röthenbach a.d.Pegnitz, St
Gaildorf, Stadt
Wolgast, Stadt
Ebersbach-Neugersdorf, Stadt
Zwönitz, Stadt
Hemsbach, Stadt
Pritzwalk, Stadt
Roding, St
Coswig (Anhalt), Stadt
Pößneck, Stadt
Hagenow, Stadt
Neuenrade, Stadt
Oestrich-Winkel, Stadt
Velten, Stadt
Vilsbiburg, St
Drolshagen, Stadt
Gräfenhainichen, Stadt
Erkner, Stadt
Dinkelsbühl, GKSt
Osterhofen, St
Hildburghausen, Stadt
Bad Dürrenberg, Stadt
Bopfingen, Stadt
Bad Fallingbostel, Stadt
Geisenheim, Hochschulstadt
Monschau, Stadt
Hauzenberg, St
Billerbeck, Stadt
Langelsheim, Stadt
Ladenburg, Stadt
Wittingen, Stadt
Walldürn, Stadt
Laichingen, Stadt
Lindenberg i.Allgäu, St
Lauenburg/ Elbe, Stadt
Lichtenstein/Sa., Stadt
Wolmirstedt, Stadt
Miesbach, St
Balve, Stadt
Lauffen am Neckar, Stadt
Schöningen, Stadt
Schwaigern, Stadt
Maxhütte-Haidhof, St
Ochsenfurt, St
Rheinau, Stadt
Stollberg/Erzgeb., Stadt
Werther (Westf.), Stadt
Geisenfeld, St
Marktheidenfeld, St
Osterwieck, Stadt
Mülheim-Kärlich, Stadt
Olbernhau, Stadt
Glückstadt, Stadt
Welzheim, Stadt
Trostberg, St
Bad Belzig, Stadt
Rothenburg ob der Tauber, GKSt
Bischofswerda, Stadt
Bad Schwalbach, Kreisstadt
Hammelburg, St
Schmölln, Stadt
Diez, Stadt
Oelsnitz/Erzgeb., Stadt
Braunfels, Stadt
Bad Nenndorf, Stadt
Regen, St
Gengenbach, Stadt
Rutesheim, Stadt
Lauingen (Donau), St
Rüthen, Stadt
Demmin, Hansestadt
Herbolzheim, Stadt
Gronau (Leine), Stadt
Eisenberg, Stadt
Braunsbedra, Stadt
Donzdorf, Stadt
Tangerhütte, Stadt
Lorch, Stadt
Querfurt, Stadt
Flöha, Stadt
Engen, Stadt
Isselburg, Stadt
Nossen, Stadt
Burgstädt, Stadt
Haigerloch, Stadt
Boizenburg/ Elbe, Stadt
Felsberg, Stadt
Bad Iburg, Stadt
Lichtenau, Stadt
Langenzenn, St
Steinbach (Taunus), Stadt
Meßstetten, Stadt
Oberharz am Brocken, Stadt
Gommern, Stadt
Zella-Mehlis, Stadt
Altensteig, Stadt
Riedlingen, Stadt
Waldkirchen, St
Grevesmühlen, Stadt
Bad Lauterberg im Harz, Stadt
Oelsnitz/Vogtl., Stadt
Tangermünde, Stadt
Bad Staffelstein, St
Gernsheim, Schöfferstadt
Steinau an der Straße, Brüder-Grimm-Stadt
Barmstedt, Stadt
Weilheim an der Teck, Stadt
Lollar, Stadt
Büdelsdorf, Stadt
Pasewalk, Stadt
Münchberg, St
Süßen, Stadt
Aulendorf, Stadt
Werlte, Stadt
Gemünden a.Main, St
Rehburg-Loccum, Stadt
Erlenbach a.Main, St
Friedrichsthal, Stadt
Betzdorf, Stadt
Meuselwitz, Stadt
Klötze, Stadt
Schotten, Stadt
Blumberg, Stadt
Wildau, Stadt
Bad Wildbad, Stadt
Aichtal, Stadt
Bogen, St
Frohburg, Stadt
Wildberg, Stadt
Kenzingen, Stadt
Niebüll, Stadt
Rüdesheim am Rhein, Stadt
Nieder-Olm, Stadt
Neuenstadt am Kocher, Stadt
Bad Orb, Stadt
Neuenhaus, Stadt
Wilkau-Haßlau, Stadt
Bad Gandersheim, Stadt
Osterburg (Altmark), Hansestadt
Nideggen, Stadt
Wettin-Löbejün, Stadt
Bockenem, Stadt
Mengen, Stadt
Simbach a.Inn, St
Oldenburg in Holstein, Stadt
Kemberg, Stadt
Endingen am Kaiserstuhl, Stadt
Heubach, Stadt
Burgau, St
Bad König, Stadt
Visselhövede, Stadt
Grimmen, Stadt
Luckau, Stadt
Beilngries, St
Dissen am Teutoburger Wald, Stadt
Schlitz, Stadt
Dassel, Stadt
Gudensberg, Stadt
Brandis, Stadt
Sebnitz, Stadt
Laubach, Stadt
Lügde, Stadt der Osterräder
Bad Ems, Stadt
Hohenmölsen, Stadt
Brand-Erbisdorf, Stadt
Ilsenburg (Harz), Stadt
Niddatal, Stadt
Heilsbronn, St
Großröhrsdorf, Stadt
Zwiesel, St
Wahlstedt, Stadt
Rehau, St
Fürstenau, Stadt
Niesky, Stadt
Sassnitz, Stadt
Trebbin, Stadt
Neustadt (Hessen), Stadt
Bleckede, Stadt
Bad Liebenzell, Stadt
Kyritz, Stadt
Altlandsberg, Stadt
Bad Breisig, Stadt
Runkel, Stadt
Höhr-Grenzhausen, Stadt
Obernkirchen, Stadt
Miltenberg, St
Zörbig, Stadt
Eisenberg (Pfalz), Stadt
Töging a.Inn, St
Osthofen, Stadt
Bad Liebenwerda, Stadt
Zschopau, Stadt
Lüchow (Wendland), Stadt
Torgelow, Stadt
Zahna-Elster, Stadt
Wertingen, St
Zwenkau, Stadt
Wunsiedel, St
Hemau, St
Elsfleth, Stadt
Heiligenhafen, Stadt
Mittenwalde, Stadt
Bad Bevensen, Stadt
Storkow (Mark), Stadt
Herzberg (Elster), Stadt
Raguhn-Jeßnitz, Stadt
Furtwangen im Schwarzwald, Stadt
Kandel, Stadt
Weißenthurm, Stadt
Reinfeld (Holstein), Stadt
Furth im Wald, St
Freystadt, St
Ortenberg, Stadt
Doberlug-Kirchhain, Stadt
Tecklenburg, Stadt
Ballenstedt, Stadt
Ichenhausen, St
Bad Griesbach i.Rottal, St
Waldheim, Stadt
Laufenburg (Baden), Stadt
Plön, Stadt
Breckerfeld, Hansestadt
Borgholzhausen, Stadt
Nittenau, St
Rain, St
Bad Frankenhausen/Kyffhäuser, Stadt
Bad Lauchstädt, Goethestadt
Elze, Stadt
Ochsenhausen, Stadt
Mansfeld, Stadt
Mücheln (Geiseltal), Stadt
Mendig, Stadt
Werneuchen, Stadt
Volkach, St
Penig, Stadt
Auerbach i.d.OPf., St
Neuötting, St
Wetter (Hessen), Stadt
Lauter-Bernsbach, Stadt
Tirschenreuth, St
Naunhof, Stadt
Waldenbuch, Stadt
Calbe (Saale), Stadt
Florstadt, Stadt
Kappeln, Stadt
Obernburg a.Main, St
Borgentreich, Orgelstadt
Bad Schussenried, Stadt
Ueckermünde, Stadt
Barth, Stadt
Rauenberg, Stadt
Colditz, Stadt
Hemmoor, Stadt
Weida, Stadt
Großräschen, Stadt
Bad Sooden-Allendorf, Stadt
Berching, St
Kirchen (Sieg), Stadt
Lützen, Stadt
Hainichen, Stadt
Schieder-Schwalenberg, Stadt
Barntrup, Stadt
Klingenthal, Stadt
Großbottwar, Stadt
Teterow, Stadt
Barby, Stadt
Vallendar, Stadt
Lauta, Stadt
Schleiz, Stadt
Bersenbrück, Stadt
Helmbrechts, St
Nierstein, Stadt
Wissen, Stadt
Hallstadt, St
Lößnitz, Stadt
Oranienbaum-Wörlitz, Stadt
Bismark (Altmark), Stadt
Premnitz, Stadt
Könnern, Stadt
Bad Schmiedeberg, Stadt
Kandern, Stadt
Meßkirch, Stadt
Staufenberg, Stadt
Kirchberg, Stadt
Dannenberg (Elbe), Stadt
Vohburg a.d.Donau, St
Landstuhl, Sickingenstadt, Stadt
Viechtach, St
Leisnig, Stadt
Kuppenheim, Stadt
Grafenau, St
Kirn, Stadt
Staufen im Breisgau, Stadt
Willebadessen, Stadt
Neunburg vorm Wald, St
Neuenbürg, Stadt
Vetschau/Spreewald, Stadt
Arnstein, St
Bad Bergzabern, Stadt
Falkenstein/Vogtl., Stadt
Rheinsberg, Stadt
Dornstetten, Stadt
Teuchern, Stadt
Möckmühl, Stadt
Rottenburg a.d.Laaber, St
Beeskow, Stadt
Lugau/Erzgeb., Stadt
Kellinghusen, Stadt
Zell am Harmersbach, Stadt
Bad Lausick, Stadt
Oederan, Stadt
Neustadt an der Orla, Stadt
Wörrstadt, Stadt
Knittlingen, Stadt
Daun, Stadt
Simmern/ Hunsrück, Stadt
Seeland, Stadt
Medebach, Hansestadt
Elsterwerda, Stadt
Kühlungsborn, Stadt
Herrieden, St
Altenberg, Stadt
Bad Düben, Stadt
Neresheim, Stadt
Treuen, Stadt
Bad Herrenalb, Stadt
Bönnigheim, Stadt
Sontra, Stadt
Bützow, Stadt
Schweich, Stadt
Oberkochen, Stadt
Kirchheimbolanden, Stadt
Harzgerode, Stadt
Hermsdorf, Stadt
Calau, Stadt
Bad Liebenstein, Stadt
Belgern-Schildau, Stadt
Ramstein-Miesenbach, Stadt
Allstedt, Stadt
Baiersdorf, St
Naila, St
Pockau-Lengefeld, Stadt
Gundelfingen a.d.Donau, St
Hüfingen, Stadt
Aken (Elbe), Stadt
Löffingen, Stadt
Ransbach-Baumbach, Stadt
Markneukirchen, Stadt
Münnerstadt, St
Hardegsen, Stadt
Kalbe (Milde), Stadt
Gerolstein, Stadt
Roßwein, Stadt
Bad Berka, Stadt
Groitzsch, Stadt
Kremmen, Stadt
Oppenheim, Stadt
Pulsnitz, Stadt
Treuenbrietzen, Stadt
Bad Kötzting, St
Eibenstock, Stadt
Homberg (Ohm), Stadt
Friedrichroda, Stadt
Gedern, Stadt
Weikersheim, Stadt
Breuberg, Stadt
Bad Sachsa, Stadt
Vohenstrauß, St
Saarburg, Stadt
Malchin, Stadt
Teublitz, St
Renchen, Stadt
Gundelsheim, Stadt
Radeburg, Stadt
Ebern, St
Elzach, Stadt
Esens, Stadt
Dettelbach, St
Wriezen, Stadt
Otterndorf, Stadt
Heringen (Werra), Stadt
Meldorf, Stadt
Scheßlitz, St
Freyung, St
Gerbstedt, Stadt
Laufen, St
Lengenfeld, Stadt
Zwingenberg, Stadt
Gröditz, Stadt
Leipheim, St
Hartha, Stadt
Annweiler am Trifels, Stadt
Greding, St
Schwarzenbach a.d.Saale, St
Bernkastel-Kues, Stadt
Bad Wimpfen, Stadt
Hecklingen, Stadt
Haslach im Kinzigtal, Stadt
Parsberg, St
Neukirchen, Stadt
Geithain, Stadt
Immenhausen, Stadt
Moringen, Stadt
Jerichow, Stadt
Birkenfeld, Stadt
Römhild, Stadt
Ebermannstadt, St
Kahla, Stadt
Bonndorf im Schwarzwald, Stadt
Gerolzhofen, St
Schelklingen, Stadt
Geiselhöring, St
Neustadt-Glewe, Stadt
Neuhaus am Rennweg, Stadt
Volkmarsen, Stadt
Gau-Algesheim, Stadt
Polch, Stadt
Müncheberg, Stadt
Reichelsheim (Wetterau), Stadt
Annaburg, Stadt
Waldeck, Stadt
Waldsassen, St
Dietenheim, Stadt
Rodalben, Stadt
Waldmünchen, St
Arendsee (Altmark), Stadt
Höchstädt a.d.Donau, St
Nortorf, Stadt
Edenkoben, Stadt
Böhlen, Stadt
Glashütte, Stadt
Arnstein, Stadt
Zierenberg, Stadt
Boxberg, Stadt
Malchow, Stadt
Mitterteich, St
Havelberg, Hansestadt
Herdorf, Stadt
Maulbronn, Stadt
Bernsdorf, Stadt
Osterburken, Stadt
Bad Blankenburg, Stadt
Friedland, Stadt
Hermeskeil, Stadt
Ketzin/Havel, Stadt
Bad Sobernheim, Stadt
Königsee-Rottenbach, Stadt
Neuenstein, Stadt
Ilshofen, Stadt
Burgkunstadt, St
Rodenberg, Stadt
Rodewisch, Stadt
Bad Brückenau, St
Horstmar, Stadt der Burgmannshöfe
Uffenheim, St
Blankenhain, Stadt
Falkenberg/Elster, Stadt
Rosenfeld, Stadt
Großalmerode, Stadt
Alpirsbach, Stadt
Bad Rodach, St
Trochtelfingen, Stadt
Beerfelden, Stadt
Neuffen, Stadt
Gammertingen, Stadt
Altenkirchen (Westerwald), Stadt
Wittenburg, Stadt
Nienburg (Saale), Stadt
Grafenwöhr, St
Schirgiswalde-Kirschau, Stadt
Güglingen, Stadt
Pegau, Stadt
Spangenberg, Liebenbachstadt
Dohna, Stadt
Heitersheim, Stadt
Geisingen, Stadt
Beilstein, Stadt
Zell im Wiesental, Stadt
Nieheim, Stadt
Neumarkt-Sankt Veit, St
Nabburg, St
Lübz, Stadt
Bleicherode, Stadt
Thannhausen, St
Thalheim/Erzgeb., Stadt
Klingenberg a.Main, St
Dietfurt a.d.Altmühl, St
Brotterode-Trusetal, Stadt
Linz am Rhein, Stadt
Windsbach, St
Wassertrüdingen, St
Hachenburg, Stadt
Norderney, Stadt
Rötha, Stadt
Plau am See, Stadt
Dornhan, Stadt
Mügeln, Stadt
Bad Lobenstein, Stadt
Bad Königshofen i.Grabfeld, St
Glücksburg (Ostsee), Stadt
Herrnhut, Stadt
Riedenburg, St
Kölleda, Stadt
Grünhain-Beierfeld, Stadt
Vilseck, St
Braunlage, Stadt
Bad Marienberg (Westerwald), Stadt
Oberlungwitz, Stadt
Vogtsburg im Kaiserstuhl, Stadt
Schlüsselfeld, St
Bad Hönningen, Stadt
Gransee, Stadt
Stadtroda, Stadt
Geislingen, Stadt
Meersburg, Stadt
Fürstenberg/Havel, Stadt
Marne, Stadt
Wolfach, Stadt
Tittmoning, St
Neustadt a.d.Waldnaab, St
Wemding, St
Leun, Stadt
Rochlitz, Stadt
Bräunlingen, Stadt
Hausach, Stadt
Stavenhagen, Reuterstadt, Stadt
Stadtoldendorf, Stadt
Grebenstein, Stadt
Haiterbach, Stadt
Wittichenau, Stadt
Waibstadt, Stadt
Biesenthal, Stadt
Schrozberg, Stadt
Hirschau, St
Dierdorf, Stadt
Grabow, Stadt
Münzenberg, Stadt
Westerburg, Stadt
Schwarzheide, Stadt
Eisfeld, Stadt
Bad Gottleuba-Berggießhübel, Stadt
Stolpen, Stadt
Mellrichstadt, St
Großschirma, Stadt
Traben-Trarbach, Stadt
Neubulach, Stadt
Drebkau, Stadt
Leutershausen, St
Zeil a.Main, St
Bodenwerder, Münchhausenstadt
Ellrich, Stadt
Schöppenstedt, Stadt
Ruhla, Stadt
Abenberg, St
Ohrdruf, Stadt
Ingelfingen, Stadt
Harburg (Schwaben), St
Gadebusch, Stadt
Gersfeld (Rhön), Stadt
Laage, Stadt
Bredstedt, Stadt
Tharandt, Stadt
Kusel, Stadt
Artern/Unstrut, Stadt
Hagenbach, Stadt
Seelow, Stadt
Kemnath, St
Prüm, Stadt
Pfreimd, St
Burg Stargard, Stadt
Dornburg-Camburg, Stadt
Otterberg, Stadt
Kastellaun, Stadt
Lütjenburg, Stadt
Falkenstein/Harz, Stadt
Wirges, Stadt
Cochem, Stadt
Schleusingen, Stadt
Uebigau-Wahrenbrück, Stadt
Velburg, St
Altentreptow, Stadt
Arzberg, St
Battenberg (Eder), Stadt
Rockenhausen, Stadt
Niedenstein, Stadt
Munderkingen, Stadt
Stühlingen, Stadt
Neudenau, Stadt
Eltmann, St
Thum, Stadt
Pottenstein, St
Vacha, Stadt
Zarrentin am Schaalsee, Stadt
Diemelstadt, Stadt
Külsheim, Stadt
Amöneburg, Stadt
Oettingen i.Bay., St
Lindenfels, Stadt
Hofheim i.UFr., St
Borkum, Stadt
Heimsheim, Stadt
Röbel/Müritz, Stadt
Unkel, Stadt
Erbendorf, St
Forchtenberg, Stadt
Monheim, St
Treffurt, Stadt
Freren, Stadt
Mahlberg, Stadt
Naumburg, Stadt
Schwaan, Stadt
Hollfeld, St
Windischeschenbach, St
Marienmünster, Stadt
Spalt, St
Freinsheim, Stadt
Lichtenau, Stadt
Adorf/Vogtl., Stadt
Ronneburg, Stadt
Pausa-Mühltroff, Stadt
Tönning, Stadt
Wilthen, Stadt
Reichenbach/O.L., Stadt
Oberviechtach, St
Trendelburg, Stadt
Lommatzsch, Stadt
Seehausen (Altmark), Hansestadt
Adelsheim, Stadt
Dahme/Mark, Stadt
Creußen, St
Todtnau, Stadt
Hitzacker (Elbe), Stadt
Kitzscher, Stadt
Steinbach-Hallenberg, Kurort, Stadt
Roßleben, Stadt
Crivitz, Stadt
Emmelshausen, Stadt
Niederstetten, Stadt
Strasburg (Uckermark), Stadt
Weismain, St
Herbstein, Stadt
Lübtheen, Stadt
Heringen/Helme, Stadt
Bischofsheim a.d.Rhön, St
Kröpelin, Stadt
Triberg im Schwarzwald, Stadt
Ehrenfriedersdorf, Stadt
Creglingen, Stadt
Eggesin, Stadt
Geisa, Stadt
Stadtilm, Stadt
Wörth a.d.Donau, St
Oppenau, Stadt
Lauchheim, Stadt
Wachenheim an der Weinstraße, Stadt
Freyburg (Unstrut), Stadt
Bad Sulza, Stadt
Groß-Bieberau, Stadt
Heideck, St
Wörth a.Main, St
Niederstotzingen, Stadt
Schömberg, Stadt
Dahn, Stadt
Hartenstein, Stadt
Scheinfeld, St
Krautheim, Stadt
Müllrose, Stadt
Iphofen, St
Marlow, Stadt
Tengen, Stadt
Rothenburg/O.L., Stadt
Augustusburg, Stadt
Nassau, Stadt
Hallenberg, Stadt
Schwarzenbach a.Wald, St
Schönau, Stadt
Tann (Rhön), Stadt
Rauschenberg, Stadt
Königsbrück, Stadt
Dargun, Stadt
Schönberg, Stadt
Gefrees, St
Putbus, Stadt
Vellberg, Stadt
Wilster, Stadt
Rennerod, Stadt
Peitz, Stadt
Rabenau, Stadt
Kirchberg an der Jagst, Stadt
Dingelstädt, Stadt
Dransfeld, Stadt
Bad Berneck i.Fichtelgebirge, St
Pressath, St
Heimbach, Stadt
Woldegk, Stadt
Waldkappel, Stadt
Lunzenau, Stadt
Selbitz, St
Waldershof, St
Dahlen, Stadt
Liebenwalde, Stadt
Loitz, Stadt
Gerabronn, Stadt
Hornberg, Stadt
Berka/Werra, Stadt
Geringswalde, Stadt
Tambach-Dietharz/Thür. Wald, Stadt
Daaden, Stadt
Sternberg, Stadt
Bad Buchau, Stadt
Schnaittenbach, St
Penzlin, Stadt
Wanfried, Stadt
Wyk auf Föhr, Stadt
Güsten, Stadt
Baruth/Mark, Stadt
Lichtenfels, Stadt
Nastätten, Stadt
Rheinböllen, Stadt
Allendorf (Lumda), Stadt
Dassow, Stadt
Pappenheim, St
Zell (Mosel), Stadt
Baunach, St
Niedernhall, Stadt
Neckarbischofsheim, Stadt
Waldenburg, Stadt
Gräfenberg, St
Brück, Stadt
Elsterberg, Stadt
Eschenbach i.d.OPf., St
Johanngeorgenstadt, Stadt
Baumholder, Stadt
Seßlach, St
Lambrecht (Pfalz), Stadt
Amorbach, St
Mirow, Stadt
St. Blasien, Stadt
Netzschkau, Stadt
Kirchberg (Hunsrück), Stadt
Neukloster, Stadt
Neckarsteinach, Stadt
Neubukow, Stadt
Wolkenstein, Stadt
Steinach, Stadt
Tessin, Stadt
Regis-Breitingen, Stadt
Hoya, Stadt
Lorch, Stadt
Marktbreit, St
Trebsen/Mulde, Stadt
Vöhrenbach, Stadt
Gemünden (Wohra), Stadt
Ellingen, St
Schiltach, Stadt
Gehren, Stadt
Deidesheim, Stadt
Freudenberg, Stadt
Mühlberg/Elbe, Stadt
Lucka, Stadt
Strehla, Stadt
Triptis, Stadt
Seifhennersdorf, Stadt
Tegernsee, St
Grünsfeld, Stadt
Bad Elster, Stadt
Bad Muskau, Stadt
Ruhland, Stadt
Wildenfels, Stadt
Bad Karlshafen, Stadt
Königsberg i.Bay., St
Bad Schandau, Stadt
Schlotheim, Stadt
Tanna, Stadt
Mühlheim an der Donau, Stadt
Gröningen, Stadt
Bad Köstritz, Stadt
Greußen, Stadt
Auma-Weidatal, Stadt
Goldberg, Stadt
Langewiesen, Stadt
Geyer, Stadt
Goldkronach, St
Münstermaifeld, Stadt
Rehna, Stadt
Welzow, Stadt
Eschershausen, Stadt
Krakow am See, Stadt
Hirschhorn (Neckar), Stadt
Neustadt (Dosse), Stadt
Weißensee, Stadt
Saalburg-Ebersdorf, Stadt
Owen, Stadt
Speicher, Stadt
Rötz, St
Ludwigsstadt, St
Kelbra (Kyffhäuser), Stadt
Neusalza-Spremberg, Stadt
Gößnitz, Stadt
Joachimsthal, Stadt
Bernstadt a. d. Eigen, Stadt
Lauscha, Stadt
Löwenstein, Stadt
Kranichfeld, Stadt
Ulmen, Stadt
Berga/Elster, Stadt
Wesselburen, Stadt
Kaltennordheim, Stadt
Ostheim v.d.Rhön, St
Egeln, Stadt
Wasungen, Stadt
Hohnstein, Stadt
Stromberg, Stadt
Kirchenlamitz, St
Oberriexingen, Stadt
Sonnewalde, Stadt
Döbern, Stadt
Burgbernheim, St
Warin, Stadt
Havelsee, Stadt
Lychen, Stadt
Schönwald, St
Bärnau, St
Schöneck/Vogtl., Stadt
Fridingen an der Donau, Stadt
Hillesheim, Stadt
Kirtorf, Stadt
Kaisersesch, Stadt
Stadtsteinach, St
Wurzbach, Stadt
Weißenberg, Stadt
Lebus, Stadt
Weißenstadt, St
Nebra (Unstrut), Stadt
Bürgel, Stadt
Klütz, Stadt
Marktleuthen, St
Liebenau, Stadt
Braubach, Stadt
Bad Teinach-Zavelstein, Stadt
Waldenburg, Stadt
Waischenfeld, St
Wolframs-Eschenbach, St
Prichsenstadt, St
Schönewalde, Stadt
Lindow (Mark), Stadt
Dömitz, Stadt
Eibelstadt, St
Wesenberg, Stadt
Hatzfeld (Eder), Stadt
Gützkow, Stadt
Ulrichstein, Stadt
Friedland, Stadt
Merkendorf, St
Jarmen, Stadt
Rhens, Stadt
Münchenbernsdorf, Stadt
Gnoien, Stadt
Frankenau, Stadt
Remda-Teichel, Stadt
Adenau, Stadt
Themar, Stadt
Laucha an der Unstrut, Stadt
Schalkau, Stadt
Frauenstein, Stadt
Elterlein, Stadt
Ravenstein, Stadt
Oberwesel, Stadt
Meisenheim, Stadt
Schillingsfürst, St
Selters (Westerwald), Stadt
Wustrow (Wendland), Stadt
Sulzburg, Stadt
Bad Bibra, Stadt
Sankt Goar, Stadt
Elstra, Stadt
Wallenfels, St
Garding, Stadt
Putlitz, Stadt
Jöhstadt, Stadt
Romrod, Stadt
Tribsees, Stadt
Ebeleben, Stadt
Alsleben (Saale), Stadt
Lauterstein, Stadt
Großbreitenbach, Stadt
Bad Wilsnack, Stadt
Schkölen, Stadt
Brüel, Stadt
Friedrichstadt, Stadt
Golßen, Stadt
Kohren-Sahlis, Stadt
Friesack, Stadt
Gartz (Oder), Stadt
Wegeleben, Stadt
Buttstädt, Stadt
Rastenberg, Stadt
Bad Tennstedt, Stadt
Dommitzsch, Stadt
Schwanebeck, Stadt
Scheer, Stadt
Osterfeld, Stadt
Schönsee, St
Betzenstein, St
Gefell, Stadt
Ziesar, Stadt
Schönau im Schwarzwald, Stadt
Pleystein, St
Schlieben, Stadt
Eckartsberga, Stadt
Schlettau, Stadt
Grebenau, Stadt
Krempe, Stadt
Großenehrich, Stadt
Stadtlengsfeld, Stadt
Creuzburg, Stadt
Rethem (Aller), Stadt
Ostritz, Stadt
Aach, Stadt
Fladungen, St
Katzenelnbogen, Stadt
Heldrungen, Stadt
Garz/Rügen, Stadt
Hayingen, Stadt
Rosenthal, Stadt
Oderberg, Stadt
Mainbernheim, St
Rerik, Stadt
Veringenstadt, Stadt
Ortrand, Stadt
Lenzen (Elbe), Stadt
Gebesee, Stadt
Lauterecken, Stadt
Hirschberg, Stadt
Leutenberg, Stadt
Oberwiesenthal, Kurort, Stadt
Meyenburg, Stadt
Königstein/Sächs. Schw., Stadt
Scheibenberg, Stadt
Wiesensteig, Stadt
Bad Colberg-Heldburg, Stadt
Niemegk, Stadt
Magdala, Stadt
Gräfenthal, Stadt
Teuschnitz, St
Marktsteft, St
Rieneck, St
Wolfstein, Stadt
Sachsenhagen, Stadt
Schauenstein, St
Bacharach, Stadt
Kindelbrück, Stadt
Teupitz, Stadt
Wiehe, Stadt
Brüssow, Stadt
Plaue, Stadt
Langenburg, Stadt
Widdern, Stadt
Velden, St
Sayda, Stadt
Penkun, Stadt
Hettingen, Stadt
Usedom, Stadt
Neukalen, Stadt
Bad Sülze, Stadt
Ranis, Stadt
Röttingen, St
Oberweißbach/Thür. Wald, Stadt
Ornbau, St
Lehesten, Stadt
Oberhof, Stadt
Rhinow, Stadt
Stadt Wehlen, Stadt
Lassan, Stadt
Stadtprozelten, St
Neuerburg, Stadt
Arneburg, Stadt
Buckow (Märkische Schweiz), Stadt
Hornbach, Stadt
Hohenleuben, Stadt
Aub, St
Hohenberg a.d.Eger, St
Kroppenstedt, Stadt
Franzburg, Stadt
Manderscheid, Stadt
Lieberose, Stadt
Buttelstedt, Stadt
Sankt Goarshausen, Loreleystadt, Stadt
Richtenberg, Stadt
Liebstadt, Stadt
Schwarzenborn, Stadt
Neustadt am Kulm, St
Orlamünde, Stadt
Schraplau, Stadt
Werben (Elbe), Hansestadt
Lichtenberg, St
Clingen, Stadt
Obermoschel, Stadt
Kupferberg, St
Rothenfels, St
Stößen, Stadt
Kyllburg, Stadt
Sandau (Elbe), Stadt
Kaub, Stadt
Märkisch Buchholz, Stadt
Ziegenrück, Stadt
Schnackenburg, Stadt
Neumark, Stadt
Ummerstadt, Stadt
Arnis, Stadt